,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
0,"Big thumbs up!! Very clearly explained. Really enjoyed it! It would be really appreciated if you could also make some videos to talk about what the real live SQL questions look like, because it seems to me that those real questions are quite different from Leetcode SQL questions (e.g. sometimes we need to come up with metrics to select ourselves, sometimes there is no sample result preview, etc )",Ugx-FYMM1gPsoN3hw1B4AaABAg,http://www.youtube.com/channel/UCr4wD1q2l3_hQEGYcgmLlPA,mintao Wei,0,0,2020-11-25 13:19:04+00:00,Td-cmLfQ7uU,0,Real Data Science SQL Interview Questions and Answers # 1 | Data Science Interview Questions,2020-11-25
1,0:53 This private method earn 5000$ in 2 days https://codz2019.blogspot.com/2020/09/150-case-study.html,Ugw7wRaJzx5-wH4-tt14AaABAg,http://www.youtube.com/channel/UCEu06fgOkZxU2F4Q8APzNHA,Nike Nike,0,0,2020-11-25 08:03:22+00:00,mqc46gdNs4E,0,3 tips to avoid debt for a masters #SHORTS,2020-11-25
2,"Really thank you for this interview! and..I have some questions. 

1. What kind of way for the test? generally  the master's degree need to write thesis for credit and graduate. but how is the MCIT course's test? it's same with other general offline grad schools? or there doesn't write the thesis?

2. Level of difficulty for graduate. I think, the many people will be retire on this program. i want to know the real experience for this level to graduate. when the beginning it can be easy. but I'm afraid the rapidly rising of the level.

3. The degree has same whit offlines? int the coursera site, there says that the degree are same with offlines. but i want to know when I apply for the companies. there doesn't need to reveal to online degree?",Ugws1BT5twvi6Lh108R4AaABAg,http://www.youtube.com/channel/UCk3sYdoFS53UHP_Yyz6lmlw,heskeybi,0,0,2020-11-25 01:47:44+00:00,KsQU_3n0IYE,0,My UPenn MCIT Experience,2020-11-25
3,They've changed the table so now your way is not gonna work. You need to get the maximum or use rank.,Ugyz9y1UGg99d7y4Ko14AaABAg,http://www.youtube.com/channel/UCNP0onnHGAkmSR5IdsGnG8w,Chengzhu Zhang,0,0,2020-11-24 18:31:57+00:00,1u1GT4sdvdA,0,SQL Data Science Interview Questions and Answers (interview style walk-through) | SQL Sundays #4,2020-11-24
4,Is your first degree is really Doctor ?,Ugwh3sSSgcH__aMEqMF4AaABAg,http://www.youtube.com/channel/UC7waw3QMuxE9zNjw-SI06yg,V.R. SANTHOSH,0,0,2020-11-24 15:58:08+00:00,C8iL4V-y1Qs,0,How I chose my masters degree (as an international student),2020-11-24
5,Super late to the game on this video hah. But just came to say that I use the exact same format for my resume too!,UgxDUphty_Sf4N7Rvtx4AaABAg,http://www.youtube.com/channel/UCW8Ews7tdKKkBT6GdtQaXvQ,Nate at StrataScratch,1,0,2020-11-24 06:35:03+00:00,vx-x-yXXE9I,1,The data science resume that got me my FAANG job (entry level data scientist),2020-11-24
6,Already Planned for the 1st one :-),UgyMBQTuA0WPHvOSj0J4AaABAg,http://www.youtube.com/channel/UCQzUZQ6upYF0t5wyI_ZD9Ww,Vishal Kumar Roy,1,0,2020-11-24 05:15:31+00:00,mqc46gdNs4E,1,3 tips to avoid debt for a masters #SHORTS,2020-11-24
7,"I ended up getting something completely different from both you and the solution and I got it correct.

SELECT business_name,
    review_text
FROM yelp_reviews
WHERE cool =
    (
    SELECT MAX(cool)
    FROM yelp_reviews
    );",UgwJtQd1UFEPA9v9XWR4AaABAg,http://www.youtube.com/channel/UCgVLAdrWcFkPVzdSbTtD_rg,Loubriel Ledesma,1,1,2020-11-24 05:04:22+00:00,1u1GT4sdvdA,1,SQL Data Science Interview Questions and Answers (interview style walk-through) | SQL Sundays #4,2020-11-24
8,Video quality?,Ugw_7AfmcoPKTde7q654AaABAg,http://www.youtube.com/channel/UClRl3gsBmUBatYK3Xlm-6jA,ravi tanwar,2,0,2020-11-24 02:49:56+00:00,mqc46gdNs4E,2,3 tips to avoid debt for a masters #SHORTS,2020-11-24
9,"Thanks for the upload! This questions was flagged as ""Hard"", but it definitely seems like an easier one when you are not overthinking it. 
Great solve!",UgzDXgclYCGCfeBvGX54AaABAg,http://www.youtube.com/channel/UCarAmHJnRmeAWOmVDbaVOTA,Adam Jacobson,1,0,2020-11-24 02:33:04+00:00,1u1GT4sdvdA,1,SQL Data Science Interview Questions and Answers (interview style walk-through) | SQL Sundays #4,2020-11-24
